#;CAMINHO NO XML;CAMPO;"REGRAS DE NEGÓCIO PARA A NOTA FISCAL DE SERVIÇO ELETRÔNICA DO 
SISTEMA NACIONAL NFS-e";;;;;;"NÍVEL
DA REGRA";"EMISSORES PÚBLICOS NACIONAIS NFS-e
(SEFIN, WEB, APP)";;ADN NFS-e;;OBSERVAÇÕES DE NEGÓCIO;;;
476;;;"Se o município de incidência do ISSQN não está ""Ativo"" no Sistema Nacional NFS-e, então não é permitido informar benefício municipal.";;Obrig.;;E0537;"Não é permitido informar benefício municipal (BM deve ser nulo) quando o município de incidência do ISSQN não está ""Ativo"" no Sistema Nacional NFS-e.";2;V;X;V;X;-;;;
477;;;"Se o emitente da DPS for ME/EPP (opSimpNac = 3), apurando o ISSQN pelo Simples Nacional (regApTribSN = 1) e o município de incidência do ISSQN está ""Ativo"" no Sistema Nacional NFS-e, então não é permitido informar benefício municipal, ou seja, (nBM = nulo).

Obs: Exceto quando o código de tributação nacional corresponder aos subitens 07.02 e 07.05 da lista de serviços do sistema nacional NFS-e. Cenário em que o sistema verifica se há parametrização de BM para o emitente da DPS.";;Obrig.;;E0536;Não é permitido o preenchimento de informações relativas à benefício municipal para o prestador de serviço ME/EPP, apurando pelo SN, conforme parametrização do código de serviço admnistrado pelo municipio de incidência do ISSQN.;3;V;X;V;X;-;;;
478;NFSe/infNFSe/DPS/valores/trib/tribMun/BM/;nBM;O código de identificação do Benefício Municipal não existente para municipio de incidência do ISSQN.;;Obrig.;Rej.;E0541;Não existe o código de identificação do benefício municipal informado na DPS para o municipío de incidência do ISSQN.;3;V;X;X;X;-;;;
479;;;O código de identificação de Benefício Municipal do municipío de incidência do ISSQN não está vigente na data de competência informada na DPS.;;Obrig.;Rej.;E0544;Período de vigência expirado para o código de identificação do Benefício Municipal no municipío de incidência do ISSQN para a data de competência informada na DPS.;3;V;X;X;X;-;;;
480;;;O código de indentificação de Benefício Municipal informado na DPS é restrita à prestadores de serviço estabelecidos no município de incidência do ISSQN.;;Obrig.;Rej.;E0548;O Benefício Municipal informado na DPS não permite benefício para prestadores de serviço que não estejam estabelecidos no município de incidência do ISSQN.;3;V;X;X;X;-;;;
481;;;O código de indentificação de Benefício Municipal, informada na DPS, não permite benefício para o código de tributação e/ou prestador (CPF ou CNPJ) informado na DPS, conforme parametrização do município de incidência do ISSQN.;;Obrig.;Rej.;E0550;O código de identificação de Benefício Municipal, informada na DPS, não permite benefício para o código de tributação e/ou prestador (CPF ou CNPJ) informado na DPS, conforme parametrização do município de incidência do ISSQN.;3;V;X;X;X;-;;;
482;NFSe/infNFSe/DPS/valores/trib/tribMun/BM/;vRedBCBM;Somente é permitido informar vRedBCBM quando o código de identificação do Benefício Municipal (nBM) for um benefício do tipo Redução de Base de Cálculo por Valor Monetário.;;Obrig.;Rej.;E0565;Não é permitido informar um valor monetário de redução de base de cálculo do ISSQN por benefício municipal, se o código de identificação do Benefício Municipal não corresponder ao tipo de redução por valor monetário.;3;V;X;X;X;-;;;
483;;;É obrigatório informar vRedBCBM quando o código de identificação do Benefício Municipal (nBM) for um benefício do tipo Redução de Base de Cálculo por Valor Monetário.;;Obrig.;Rej.;E0567;É obrigatório informar vRedBCBM quando o código de identificação do Benefício Municipal (nBM) for um benefício do tipo Redução de Base de Cálculo por Valor Monetário.;3;V;X;X;X;-;;;
484;;;O valor monetário do benefício municipal informado na DPS não pode ser superior ao valor do preço serviço.;;Obrig.;Rej.;E0574;O valor monetário do benefício municipal informado na DPS não pode ser superior ao valor do serviço.;3;V;X;X;X;-;;;
485;;;"O valor monetário do benefício municipal informado na DPS não pode reduzir o valor da BC de forma que resulte no valor do ISSQN a uma alíquota efetiva menor que 2%, exceto para os códigos relativos aos serviços:
042201, 042301, 050901, 070201, 070202, 070501 , 070502, 090201, 090202, 100101, 100102, 100103, 100104, 100105, 100201, 100202, 100301, 100401, 100402, 100403, 100501, 100502, 100601, 100701, 100801, 100901, 101001, 150101, 150102, 150103, 150104, 150105, 151001, 151002, 151003, 151004, 151005, 160101, 160102, 160103, 160104, 160201, 170501, 170601, 171001, 171002, 171101, 171102, 171201, 210101, 250301.";;Obrig.;Rej.;E0575;O valor monetário do benefício municipal informado na DPS não pode reduzir o valor da BC de forma que resulte no valor do ISSQN a uma alíquota efetiva menor que 2%, exceto para os códigos relativos aos subitens 042201, 042301, 050901, 070201, 070202, 070501 , 070502, 090201, 090202, 100101, 100102, 100103, 100104, 100105, 100201, 100202, 100301, 100401, 100402, 100403, 100501, 100502, 100601, 100701, 100801, 100901, 101001, 150101, 150102, 150103, 150104, 150105, 151001, 151002, 151003, 151004, 151005, 160101, 160102, 160103, 160104, 160201, 170501, 170601, 171001, 171002, 171101, 171102, 171201, 210101, 250301, da lista de serviços nacional do Sistema Nacional NFS-e.;2;V;X;X;X;O valor do desconto incondicionado, se informado na DPS, não é considerado para a redução do valor da BC de forma que resulte para valor do ISSQN a uma alíquota efetiva menor que 2%. (desconsiderar vCalcReepRepRes e vDescIncond);;;
486;NFSe/infNFSe/DPS/valores/trib/tribMun/BM/;pRedBCBM;Somente é permitido informar pRedBCBM quando o código de identificação do Benefício Municipal (nBM) for um benefício do tipo Redução de Base de Cálculo por percentual.;;Obrig.;Rej.;E0577;Não é permitido informar um valor percentual de redução de base de cálculo do ISSQN por benefício municipal, se o código de identificação do Benefício Municipal não corresponder ao tipo de redução por valor percentual.;3;V;X;X;X;-;;;
487;;;É obrigatório informar pRedBCBM quando o código de identificação do Benefício Municipal (nBM) for um benefício do tipo Redução de Base de Cálculo por percentual.;;Obrig.;Rej.;E0579;É obrigatório informar pRedBCBM quando o código de identificação do Benefício Municipal (nBM) for um benefício do tipo Redução de Base de Cálculo por percentual.;3;V;X;X;X;-;;;
488;;;O valor percentual para redução da base de cálculo deve ser maior que 0 e menor ou igual ao percentual parametrizado pelo município de incidência do ISSQN.;;Obrig.;Rej.;E0586;O valor percentual para redução da base de cálculo deve ser maior que 0 e menor ou igual ao percentual parametrizado pelo município de incidência do ISSQN.;3;V;X;X;X;-;;;
489;;;"O valor percentual do benefício municipal informado na DPS não pode reduzir o valor da BC de forma que resulte no valor do ISSQN a uma alíquota efetiva menor que 2%, exceto para os códigos relativos aos serviços:
042201, 042301, 050901, 070201, 070202, 070501 , 070502, 090201, 090202, 100101, 100102, 100103, 100104, 100105, 100201, 100202, 100301, 100401, 100402, 100403, 100501, 100502, 100601, 100701, 100801, 100901, 101001, 150101, 150102, 150103, 150104, 150105, 151001, 151002, 151003, 151004, 151005, 160101, 160102, 160103, 160104, 160201, 170501, 170601, 171001, 171002, 171101, 171102, 171201, 210101, 250301.";;Obrig.;Rej.;E0587;O valor percentual do benefício municipal informado na DPS não pode reduzir o valor da BC de forma que resulte no valor do ISSQN a uma alíquota efetiva menor que 2%, exceto para os códigos relativos aos subitens 042201, 042301, 050901, 070201, 070202, 070501 , 070502, 090201, 090202, 100101, 100102, 100103, 100104, 100105, 100201, 100202, 100301, 100401, 100402, 100403, 100501, 100502, 100601, 100701, 100801, 100901, 101001, 150101, 150102, 150103, 150104, 150105, 151001, 151002, 151003, 151004, 151005, 160101, 160102, 160103, 160104, 160201, 170501, 170601, 171001, 171002, 171101, 171102, 171201, 210101, 250301, da lista de serviços nacional do Sistema Nacional NFS-e.;2;V;X;X;X;O valor do desconto incondicionado, se informado na DPS, não é considerado para a redução do valor da BC de forma que resulte para valor do ISSQN a uma alíquota efetiva menor que 2%.;;;
490;NFSe/infNFSe/DPS/infDPS/valores/trib/tribMun/; tpRetISSQN;"Não é permitido haver retenção do ISSQN (tpRetISSQN = 2 ou 3) quando o serviço prestado for imune, exportação de serviço ou não incidência do ISSQN sobre o serviço prestado, ou seja, o campo tpRetISSQ = 1 quando o campo referente à tributação do ISSQN (tribISSQN) é igual a ""2 - Imunidade, ""3 - Exportação de Serviço"" ou ""4 - Não Incidência"", (tribISSQN = 2, 3 ou 4).";;Obrig.;Rej.;E0580;Não é permitido haver retenção quando o campo referente à tributação do ISSQN indicar imunidade, exportação ou não incidência.;2;V;X;V;X;-;;;
491;;;Se o prestador do serviço tiver opção perante o Simples Nacional MEI (opSimpNac = 2) na data de competência informada na DPS, então não é permitido ocorrer retenção do ISSQN (tpRetISSQN igual a 2 ou 3), ou seja, tpRetISSQN tem que ser igual a 1 (tpRetISSQN = 1).;;Obrig.;Rej.;E0583;Não é permitido retenção do ISSQN para o prestador do serviço que seja MEI na data de competência informada na DPS.;2;V;X;X;X;-;;;
492;;;Se o prestador do serviço tiver um regime especial de tributação (regEspTrib = 1, 2, 3, 4, 5, 6 ou 9) na data de competência informada na DPS, então não é permitido ocorrer retenção do ISSQN (tpRetISSQN igual a 2 ou 3), ou seja, tpRetISSQN tem que ser igual a 1 (tpRetISSQN = 1).;;Obrig.;Rej.;E0588;Não é permitido retenção do ISSQN para o prestador do serviço que tenha algum regime especial de tributação na data de competência informada na DPS.;2;V;X;V;X;-;;;
493;;;"Quando o benefício municipal informado na DPS for do tipo ""Isenção"", não poderá ocorrer retenção do ISSQN 
(tpRetISSQN igual a 2 ou 3) ou seja, tpRetISSQN tem que ser igual a 1.";;Obrig.;Rej.;E0594;Não é permitido retenção do ISSQN quando houver Benefício Municipal do tipo Isenção.;2;V;X;V;X;-;;;
494;;;Quando o codigo de tributação nacional corresponder ao subitem 220101 da lista de serviços do Sistema Nacional NFS-e, não poderá ocorrer retenção do ISSQN (tpRetISSQN igual a 2 ou 3) ou seja, tpRetISSQN tem que ser igual a 1.;;Obrig.;Rej.;E0596;Não é permitido retenção do ISSQN quando o serviço prestado corresponder ao subitem 220101 - Serviço de exploração de rodovia da lista de serviços do Sistema Nacional NFS-e.;2;V;X;V;X;-;;;
495;;;"Se o emitente da DPS for o tomador de serviço (tpEmit = 2) e o prestador for identificado por NIF ou, 
na falta do NIF informado, o endereço for no exterior e local da prestação no território brasileiro 
(cLocPrestacao é preenchido), então a retenção do imposto devido deve ser realizada obrigatoriamente 
pelo tomador (tpRetISSQN = 2).";;Obrig.;Rej.;E0650;Em caso de importação de serviço pelo tomador, o ISSQN deve ser retido pelo tomador.;2;V;X;V;X;-;;;
496;;;"Se o emitente da DPS for o intermediário de serviço (tpEmit = 3) e o prestador for identificado por NIF ou, 
na falta do NIF informado, o endereço for no exterior e local da prestação no território brasileiro 
(cLocPrestacao é preenchido), então a retenção do imposto devido deve ser realizada obrigatoriamente 
pelo tomador (tpRetISSQN = 3).";;Obrig.;Rej.;E0652;Em caso de importação de serviço pelo intermediário, o ISSQN deve ser retido pelo intermediário.;2;V;X;V;X;-;;;
497;;;Verificar se o CPF informado como tomador na DPS (NFSe/infNFSe/DPS/infDPS/toma/CPF) está previamente cadastrado para retenção do ISSQN na parametrização do município de incidência do imposto.;;Obrig.;Rej.;E0667;Município da incidência do ISSQN não autoriza que o CPF do tomador informado na DPS seja indicado para retenção deste imposto.;3;V;X;X;X;-;;;
498;;;Verificar se o CPF informado como intermediário na DPS (NFSe/infNFSe/DPS/infDPS/interm/CPF) está previamente cadastrado para retenção na parametrização do município de incidência do imposto.;;Obrig.;Rej.;E0670;Município da incidência do ISSQN não autoriza que o CPF do intermediário informado na DPS seja indicado para retenção deste imposto.;3;V;X;X;X;-;;;
499;;;Se o tomador emitente da DPS (tpEmit = 2) for estabelecido em município diferente do município de incidência do ISSQN, então não pode haver retenção (tpRetISSQN deve ser igual a 1).;;Obrig.;Rej.;E0672;Não pode haver retenção do ISSQN se e o tomador for o emitente da DPS e estiver estabelecido em município diferente do município de incidência do ISSQN.;2;V;X;V;X;-;;;
500;;;Se o intermediário emitente da DPS (tpEmit = 3) for estabelecido em município diferente do município de incidência do ISSQN, então não pode haver retenção (tpRetISSQN deve ser igual a 1).;;Obrig.;Rej.;E0673;Não pode haver retenção do ISSQN se e o intermediário for o emitente da DPS e estiver estabelecido em município diferente do município de incidência do ISSQN.;2;V;X;V;X;-;;;
501;NFSe/infNFSe/DPS/infDPS/valores/trib/tribMun/;pAliq;Não é permitido informar alíquota superior a 5%.;;Obrig.;Rej.;E0595;Não é permitido informar alíquota superior a 5%.;2;V;X;V;X;-;;;
502;;;Não é permitido informar alíquota quando o prestador é optante do simples nacional do tipo MEI (opSimpNac = 2).;;Obrig.;Rej.;E0600;Não é permitido informar a alíquota para prestador de serviço optante do simples nacional do tipo MEI.;2;V;X;V;X;-;;;
503;;;"Não é permitido informar alíquota quando o serviço prestado for imune, exportação de serviço ou não incidência do ISSQN sobre o serviço prestado, ou seja, o campo referente à tributação do ISSQN (tribISSQN) é igual a ""2 - Imunidade, ""3 - Exportação de Serviço"" ou ""4 - Não Incidência"", (tribISSQN = 2, 3 ou 4).";;Obrig.;Rej.;E0602;Não é permitido informar alíquota quando o campo referente à tributação do ISSQN indicar imunidade, exportação ou não incidência.;2;V;X;V;X;-;;;
504;;;Não é permitido informar alíquota quando o prestador de serviço tiver um regime especial de tributação, ou seja, o campo que indica o regime especial de tributação é diferente de 0, (regEspTrib = 1, 2, 3, 4, 5, 6 ou 9).;;Obrig.;Rej.;E0604;Não é permitido informar alíquota quando o prestador de serviço possui algum regime especial de tributação.;2;V;X;V;X;-;;;
505;;;"Não é permitido informar alíquota quando o benefício municipal for informado na DPS for do tipo ""Isenção"" ou ""Alíquota Diferenciada"".";;Obrig.;Rej.;E0612;"Não é permitido informar alíquota quando o benefício municipal informado na DPS for do tipo ""Isenção"" ou ""Alíquota Diferenciada"".";3;V;X;X;X;-;;;
506;;;"Não é permitido o preenchimento do campo pAliq quando ocorrer as condições abaixo simultaneamente:

1) o prestador de serviço seja não optante do Simples Nacional (opSimpNac = 1) 
na data de competência informada na DPS, e
2) o convênio do município de incidência do ISSQN está ativo na data de competência informada na DPS;";;Obrig.;Rej.;E0617;"Não é permitido informar alíquota quando o prestador de serviço não é optante do simples nacional (opSimpNac = 1) na data de competência informada na DPS, com o município de incidência do ISSQN com situação ""ATIVO"" no Sistema Nacional NFS-e.";3;V;X;X;X;-;;;
507;;;"É obrigatório o preenchimento do campo pAliq quando ocorrer as condições abaixo simultaneamente:

1) o prestador de serviço seja não optante do Simples Nacional (opSimpNac = 1) 
na data de competência informada na DPS, e
2) o convênio do município de incidência do ISSQN não está ""Ativo"" na data de competência informada na DPS, e
3) nenhum regime especial de tributação para o prestador de serviço (regEspTrib = 0);";;Obrig.;Rej.;E0619;"É obrigatório informar alíquota quando o prestador de serviço não é optante do simples nacional (opSimpNac = 1) na data de competência informada na DPS, o município de incidência do ISSQN não está com situação ""ATIVO"" no Sistema Nacional NFS-e e não haja algum regime especial de tributaçao para o prestador.";3;V;X;X;X;-;;;
508;;;"É obrigatorio o preenchimento do campo pAliq quando ocorrer as condições abaixo simultaneamente:

1) O prestador de serviço seja optante do Simples Nacional ME/EPP (opSimpNac = 3) 
na data de competência de emissão da DPS e; 
2) a apuração do ISSQN seja pelo SN (regApTribSN = 1) e;
3) o convênio do município de incidência do ISSQN está ""Ativo"" na data de competência informada na DPS, 
4) não haja benefício municipal ou, se houver, seja diferente de ""Isenção"" e ""Alíquota diferenciada"", e
5) haja retenção do ISSQN (tpRetISSQN = 2 ou 3);

Obs: neste cenário, o percentual da alíquota mínima informada permitida é 1,8%.";;Obrig.;Rej.;E0621;É obrigatório informar alíquota quando há indicação de retenção do ISSQN (tpRetISSQN = 2 ou 3) para o prestador de serviço ME/EPP (opSimpNac = 3) na data de competência informada na DPS, com apuração do ISSQN pelo simples nacional (regApTribISSQN = 1), sem benefício municipal ou, se houver, seja diferente de isenção ou alíquota diferenciada, cujo município de incidência esteja Ativo no Sistema Nacional NFS-e. Obs: neste cenário, o percentual da alíquota mínima informada permitida é 1,8%.;3;V;X;X;X;-;;;
509;;;"Não é permitido o preenchimento do campo pAliq quando ocorrer as condições abaixo simultaneamente:

1) O prestador de serviço seja optante do Simples Nacional ME/EPP (opSimpNac = 3) 
na data de competência de emissão da DPS e; 
2) a apuração do ISSQN seja pelo SN (regApTribSN = 1) e;
3) o convênio do município de incidência do ISSQN está ""Ativo"" na data de competência informada na DPS, 
4) não haja benefício municipal ou, se houver, seja diferente de ""Isenção"" e ""Alíquota diferenciada"", e
5) não haja retenção do ISSQN (tpRetISSQN = 1);";;Obrig.;Rej.;E0625;Não é permitido informar alíquota quando não há indicação de retenção do ISSQN (tpRetISSQN = 1) para o prestador de serviço ME/EPP (opSimpNac = 3) na data de competência informada na DPS, com apuração do ISSQN pelo simples nacional (regApTribISSQN = 1), sem benefício municipal ou, se houver, seja diferente de isenção ou alíquota diferenciada, cujo município de incidência esteja Ativo no Sistema Nacional NFS-e.;3;V;X;X;X;-;;;
510;;;"É obrigatório o preenchimento do campo pAliq quando ocorrer as condições abaixo simultaneamente:

1) O prestador de serviço seja optante do Simples Nacional ME/EPP (opSimpNac = 3) 
na data de competência de emissão da DPS e; 
2) a apuração do ISSQN seja pelo SN (regApTribSN = 1) e;
3) o convênio do município de incidência do ISSQN não está ""Ativo"" na data de competência informada na DPS, e
4) haja retenção do ISSQN (tpRetISSQN = 2 ou 3);

Obs: neste cenário, o percentual da alíquota mínima informada permitida é 1,8%.";;Obrig.;Rej.;E0628;É obrigatório informar alíquota quando o município de incidência do ISSQN não está Ativo no Sistema Nacional NFS-e, para o prestador de serviço ME/EPP (opSimpNac = 3) na data de competência informada na DPS, com apuração do ISSQN pelo simples nacional (regApTribISSQN = 1), com retenção do ISSQN (tpRetISSQN = 2 ou 3). Obs: neste cenário, o percentual da alíquota mínima informada permitida é 1,8%.;3;V;X;X;X;-;;;
511;;;"Não é permitido o preenchimento do campo pAliq quando ocorrer as condições abaixo simultaneamente:

1) O prestador de serviço seja optante do Simples Nacional ME/EPP (opSimpNac = 3) 
na data de competência de emissão da DPS e; 
2) a apuração do ISSQN seja pelo SN (regApTribSN = 1) e;
3) o convênio do município de incidência do ISSQN não está ""Ativo"" na data de competência informada na DPS, e
4) não haja retenção do ISSQN (tpRetISSQN = 1);";;Obrig.;Rej.;E0631;Não é permitido informar alíquota quando o município de incidência do ISSQN não está Ativo no Sistema Nacional NFS-e, para o prestador de serviço ME/EPP (opSimpNac = 3) na data de competência informada na DPS, com apuração do ISSQN pelo simples nacional (regApTribISSQN = 1) sem retenção do ISSQN (tpRetISSQN = 1).;3;V;X;X;X;-;;;
512;;;"Não é permitido o preenchimento do campo pAliq quando ocorrer as condições abaixo simultaneamente:

1) o prestador de serviço seja optante do Simples Nacional ME/EPP (opSimpNac = 3) 
na data de competência informada na DPS, e
2) a apuração do ISSQN fora do Simples Nacional, ou seja, pela alíquota do município 
para o serviço prestado (regApTribSN = 2 ou 3) e;
3) o convênio do município de incidência do ISSQN está ativo na data de competência informada na DPS;";;Obrig.;Rej.;E0635;Não é permitido informar alíquota quando o convênio do município de incidência do ISSQN está ativo na data de competência informada na DPS, para o prestador de serviço ME/EPP (opSimpNac = 3) com a apuração do ISSQN fora do Simples Nacional, ou seja, pela alíquota do município para o serviço prestado (regApTribSN = 2 ou 3).;3;V;X;X;X;-;;;
513;;;"É obrigatorio o preenchimento do campo pAliq quando ocorrer as condições abaixo simultaneamente:

1) O prestador de serviço seja optante do Simples Nacional ME/EPP (opSimpNac = 3) 
na data de competência de emissão da DPS e; 
2) a apuração do ISSQN fora do Simples Nacional, ou seja, pela alíquota do município 
para o serviço prestado (regApTribSN = 2 ou 3) e;
3) o convênio do município de incidência do ISSQN não está ""Ativo"" na data de competência informada na DPS.";;Obrig.;Rej.;E0640;"É obrigatório informar alíquota quando o prestador de serviço ME/EPP (opSimpNac = 3) na data de competência informada na DPS, com apuração do ISSQN fora do Simples Nacional (regApTribISSQN = 2 ou 3), ou seja, pela alíquota do município para o serviço prestado, cujo município de incidência não esteja ""Ativo"" no Sistema Nacional NFS-e.";3;V;X;X;X;-;;;
514;NFSe/infNFSe/DPS/infDPS/valores/trib/;tribFed;Não é permitido o preenchimento das informações relativas aos tributos federais quando o emitente da DPS for identificado por uma pessoa física (CPF).;;Obrig.;Obrig.;E0675;Não é permitido a prestação de informações relativas aos tributos federais quando o emitente da DPS for identificado por um pessoa física (CPF).;1;V;X;V;X;-;;;
515;;;Não é permitido o preenchimento das informações relativas aos tributos federais quando o emitente for identificado como MEI na data de competência informada na DPS.;;Obrig.;Obrig.;E0676;Não é permitido o preenchimento das informações relativas aos tributos federais quando o emitente for identificado como MEI na data de competência informada na DPS.;1;V;X;X;X;-;;;
516;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/;pisconfins;-;;-;-;-;-;-;-;-;-;-;-;;;
517;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/piscofins/;CST;-;;-;-;-;-;-;-;-;-;-;-;;;
518;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/piscofins/;vBCPisCofins;O valor da BC para Pis/Cofins deve ser menor ou igual ao valor do serviço informado na DPS.;;Obrig.;Obrig.;E0677;O valor da BC para Pis/Cofins deve ser menor ou igual ao valor do serviço informado na DPS.;1;V;X;V;X;-;;;
519;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/piscofins/;pAliqPis;Se a alíquota do Pis (pAliqPis) for informada, então deve ser igual ou maior que 0 e menor ou igual a 100%.;;Obrig.;Rej.;E0686;A alíquota do Pis deve ser igual ou maior que 0 e menor ou igual a 100%.;1;V;X;V;X;-;;;
520;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/piscofins/;pAliqCofins;Se a alíquota do Cofins (pAliqCofins) for informada, então deve ser igual ou maior que 0 e menor ou igual a 100%.;;Obrig.;Rej.;E0692;A alíquota do Cofins deve ser igual ou maior que 0 e menor ou igual a 100%.;1;V;X;V;X;-;;;
521;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/piscofins/;vPis;Se o valor da alíquota do Pis (pAliqPis) for informado, então o valor do Pis informado na DPS deve ser igual ao valor da base de cálculo do Pis/Cofins x alíquota do Pis, que foram informados na DPS.;;Obrig.;Rej.;E0694;O valor do Pis informado não corresponde ao resultado da BC Pis/Cofins x Alíquota Pis, que foram informados na DPS.;1;V;X;V;X;-;;;
522;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/piscofins/;vCofins;Se o valor da alíquota do Cofins (pAliqCofins) for informado, então o valor Cofins informado na DPS deve ser igual ao valor da base de cálculo do Pis/Cofins x alíquota do Cofins , que foram informados na DPS.;;Obrig.;Rej.;E0696;O valor do Cofins informado não corresponde ao resultado da BC Pis/Cofins x Alíquota Cofins, que foram informados na DPS.;1;V;X;V;X;-;;;
523;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/piscofins/; tpRetPisCofins;-;;-;-;-;-;1;V;X;V;X;-;;;
524;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/;vRetCP;Se o valor do tributo CP for informado, então deve ser maior que zero e menor que o valor do serviço informado na DPS.;;Obrig.;Rej.;E0699;O valor do tributo CP deve ser maior que zero e menor que o valor do serviço informado na DPS.;1;V;X;V;X;-;;;
525;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/;vRetIRRF;Se o valor do tributo IRRF for informado, então deve ser maior que zero e menor que o valor do serviço informado na DPS.;;Obrig.;Rej.;E0700;O valor do tributo IRRF deve ser maior que zero e menor que o valor do serviço informado na DPS.;1;V;X;V;X;-;;;
526;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/;vRetCSLL;"Se o tipo de retenção do PIS/COFINS/CSLL for igual a ""0 - PIS/COFINS/CSLL Não Retidos"", então não é permitido informar o campo vRetCSLL.";;Obrig.;Rej.;E0720;"Se o tipo de retenção do PIS/COFINS for igual a ""0 - PIS/COFINS/CSLL Não Retidos"", então não é permitido informar o campo vRetCSLL.";1;V;X;V;V;-;;;
527;;;"Se o tipo de retenção do PIS/COFINS/CSLL for diferente de ""0 - PIS/COFINS/CSLL Não Retidos"" ou 
de ""2 - PIS/COFINS Não Retido"", então é obrigatório informar o campo vRetCSLL.";;Obrig.;Rej.;E0724;"Se o tipo de retenção do PIS/COFINS for diferente de ""0 - PIS/COFINS/CSLL Não Retidos"" ou 
de ""2 - PIS/COFINS Não Retido"", então é obrigatório informar o campo vRetCSLL.";1;V;X;V;V;-;;;
528;;;Se o valor de retenção do CSLL for informado, então deve ser maior que zero e menor que o valor do serviço informado na DPS.;;Obrig.;Rej.;E0701;O valor do tributo CSLL deve ser maior que zero e menor que o valor do serviço informado na DPS.;1;V;X;V;X;-;;;
529;NFSe/infNFSe/DPS/infDPS/valores/trib/;totTrib;-;;-;-;-;-;-;-;-;-;-;-;;;
530;NFSe/infNFSe/DPS/infDPS/valores/trib/totalTrib;vTotTrib;-;;-;-;-;-;-;-;-;-;-;-;;;
531;NFSe/infNFSe/DPS/infDPS/valores/trib/totalTrib/vTotTrib;vTotTribFed;Se valor for informado, então deve ser igual ou maior que 0 e menor ou igual o valor do serviço.;;Obrig.;Rej.;E0702;Se o valor for informado, então deve ser igual ou maior que 0 e menor ou igual o valor do serviço.;1;V;X;V;X;-;;;
532;NFSe/infNFSe/DPS/infDPS/valores/trib/totalTrib/vTotTrib;vTotTribEst;Se valor for informado, então deve ser igual ou maior que 0 e menor ou igual o valor do serviço.;;Obrig.;Rej.;E0703;Se o valor for informado, então deve ser igual ou maior que 0 e menor ou igual o valor do serviço.;1;V;X;V;X;-;;;
533;NFSe/infNFSe/DPS/infDPS/valores/trib/totalTrib/vTotTrib;vTotTribMun;Se valor for informado, então deve ser igual ou maior que 0 e menor ou igual o valor do serviço.;;Obrig.;Rej.;E0704;Se o valor for informado, então deve ser igual ou maior que 0 e menor ou igual o valor do serviço.;1;V;X;V;X;-;;;
534;NFSe/infNFSe/DPS/infDPS/valores/trib/totalTrib;pTotTrib;-;;-;-;-;-;-;-;-;-;-;-;;;
535;NFSe/infNFSe/DPS/infDPS/valores/trib/totalTrib/pTotTrib;pTotTribFed;Se a alíquota for informada, então deve ser igual ou maior que 0 e menor ou igual a 100%.;;Obrig.;Rej.;E0706;Se a alíquota for informada, então deve ser igual ou maior que 0 e menor ou igual a 100%.;1;V;X;V;X;-;;;
536;NFSe/infNFSe/DPS/infDPS/valores/trib/totalTrib/pTotTrib;pTotTribEst;Se a alíquota for informada, então deve ser igual ou maior que 0 e menor ou igual a 100%.;;Obrig.;Rej.;E0707;Se a alíquota for informada, então deve ser igual ou maior que 0 e menor ou igual a 100%.;1;V;X;V;X;-;;;
537;NFSe/infNFSe/DPS/infDPS/valores/trib/totalTrib/pTotTrib;pTotTribMun;Se a alíquota for informada, então deve ser igual ou maior que 0 e menor ou igual a 100%.;;Obrig.;Rej.;E0708;Se a alíquota for informada, então deve ser igual ou maior que 0 e menor ou igual a 100%.;1;V;X;V;X;-;;;
538;NFSe/infNFSe/DPS/infDPS/valores/trib/totTrib/;indTotTrib;Se a situação do emitente da DPS perante o Simples Nacional na data de competência informada for ME/EPP, o choice indTotTrib nunca poderá ser informado.;;Obrig.;Rej.;E0712;Para ME/EPP indTotTrib nunca poderá ser informado.;1;V;X;X;X;-;;;
539;;;Se a situação do emitente da DPS perante o Simples Nacional na data de competência informada for Não Optante, indTotTrib e pTotTribSN nunca poderá ser informado.;;Obrig.;Rej.;E0713;Para Não Optante do SN os campos, indicador de informação de valor total de tributos e  percentual aproximado do total dos tributos da alíquota do Simples Nacional (%), não podem ser informado.;1;V;X;X;X;-;;;
540;NFSe/infNFSe/DPS/infDPS/valores/trib/totTrib/;pTotTribSN;;;;;;;;;;;;;;;
541;;;Se a situação do emitente da DPS perante o Simples Nacional na data de competência informada for MEI, o choice pTotTribSN nunca poderá ser informado.;;Obrig.;Rej.;E0710;Para MEI pTotTribSN nunca poderá ser informado.;1;V;X;X;X;-;;;
